epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
0,0.4219783842563629,1.9906355142593384,0.5075376629829407,1.521665096282959,0.0010000000474974513
1,0.47240138053894043,1.557142972946167,0.5118090510368347,1.4007595777511597,0.0010000000474974513
2,0.48705920577049255,1.4427860975265503,0.5130653381347656,1.3225914239883423,0.0010000000474974513
3,0.4966915249824524,1.3735356330871582,0.5002512335777283,1.3252387046813965,0.0010000000474974513
4,0.5055699944496155,1.3284544944763184,0.5251256227493286,1.2442020177841187,0.0010000000474974513
5,0.5098416805267334,1.2937448024749756,0.5221105813980103,1.2106832265853882,0.0010000000474974513
6,0.5140296220779419,1.259602427482605,0.49321606755256653,1.2482503652572632,0.0010000000474974513
7,0.5257559418678284,1.233900547027588,0.47638189792633057,1.2810602188110352,0.0010000000474974513
8,0.5291063189506531,1.2080422639846802,0.5248743891716003,1.1853429079055786,0.0010000000474974513
9,0.5335454940795898,1.189923644065857,0.5087939500808716,1.241700291633606,0.0010000000474974513
10,0.5328754782676697,1.1728806495666504,0.5226130485534668,1.1836802959442139,0.0010000000474974513
11,0.5329592227935791,1.1847208738327026,0.5276381969451904,1.189243197441101,0.0010000000474974513
12,0.5392411351203918,1.1649543046951294,0.5522612929344177,1.1745151281356812,0.0010000000474974513
13,0.543596625328064,1.1574865579605103,0.504020094871521,1.2151128053665161,0.0010000000474974513
14,0.5528101325035095,1.1387513875961304,0.4693467319011688,1.2850205898284912,0.0010000000474974513
15,0.5366446375846863,1.1531423330307007,0.4952261447906494,1.22138512134552,0.0010000000474974513
16,0.5520563125610352,1.1211155652999878,0.5042713284492493,1.208893060684204,0.0010000000474974513
17,0.5495434999465942,1.1167320013046265,0.4846733808517456,1.226280689239502,0.0010000000474974513
18,0.5559929609298706,1.1228082180023193,0.47160804271698,1.2840921878814697,0.0010000000474974513
19,0.5553228855133057,1.1164276599884033,0.5075376629829407,1.2000641822814941,0.0010000000474974513
20,0.5507161617279053,1.1258492469787598,0.5125628113746643,1.2257150411605835,0.0010000000474974513
21,0.5662115812301636,1.086326003074646,0.491959810256958,1.2291345596313477,0.0005000000237487257
22,0.5714046359062195,1.0706660747528076,0.49824121594429016,1.205005168914795,0.0005000000237487257
23,0.5647039413452148,1.0724296569824219,0.5015075206756592,1.2251572608947754,0.0005000000237487257
24,0.5657089948654175,1.0653566122055054,0.4786432087421417,1.253530740737915,0.0005000000237487257
25,0.572242259979248,1.0576726198196411,0.475628137588501,1.2664862871170044,0.0005000000237487257
26,0.571739673614502,1.0514434576034546,0.48567840456962585,1.2491366863250732,0.0005000000237487257
27,0.576513946056366,1.045684814453125,0.47185930609703064,1.2849963903427124,0.0005000000237487257
